cust_id,lookalikes
C0001,"[('C0069', 0.9276080775369768), ('C0035', 0.8300165259826234), ('C0127', 0.8266697803444055)]"
C0002,"[('C0134', 0.8838449168309378), ('C0103', 0.8554306954427914), ('C0031', 0.8527119803518968)]"
C0003,"[('C0166', 0.8679015266812106), ('C0159', 0.7985731546523783), ('C0031', 0.7886941096992776)]"
C0004,"[('C0113', 0.9040868452139225), ('C0090', 0.8947098611296845), ('C0017', 0.8923018822686702)]"
C0005,"[('C0007', 0.9002970771470971), ('C0095', 0.887423448056446), ('C0146', 0.8749236561855361)]"
C0006,"[('C0185', 0.8719954871723938), ('C0187', 0.8348484831319872), ('C0135', 0.7973517178451378)]"
C0007,"[('C0005', 0.9002970771470971), ('C0120', 0.8889283241774506), ('C0026', 0.8502739262126741)]"
C0008,"[('C0162', 0.9332666639510961), ('C0154', 0.9057234548553279), ('C0113', 0.8893334759443928)]"
C0009,"[('C0077', 0.9055054450730692), ('C0083', 0.9037306700417053), ('C0032', 0.8702189094267185)]"
C0010,"[('C0077', 0.8985151643042664), ('C0029', 0.8935945857543663), ('C0030', 0.8893965506934959)]"
C0011,"[('C0126', 0.9536545564199884), ('C0171', 0.839344829091227), ('C0064', 0.8249027323283847)]"
C0012,"[('C0065', 0.9663109271327553), ('C0104', 0.9087940808305114), ('C0136', 0.9006103124208925)]"
C0013,"[('C0105', 0.9423252813220816), ('C0102', 0.8450905904096544), ('C0188', 0.8384297827372478)]"
C0014,"[('C0151', 0.9966643910805489), ('C0097', 0.9887109876207065), ('C0060', 0.9817484678071751)]"
C0015,"[('C0036', 0.8646094575822165), ('C0063', 0.855542539024729), ('C0095', 0.8470557666955749)]"
C0016,"[('C0067', 0.7632646570271757), ('C0149', 0.7619246297058754), ('C0107', 0.7573255395981665)]"
C0017,"[('C0075', 0.9479832501200697), ('C0122', 0.911037382394501), ('C0090', 0.907179808849955)]"
C0018,"[('C0023', 0.849871590274513), ('C0168', 0.7752218790536991), ('C0114', 0.7302751189680255)]"
C0019,"[('C0191', 0.916623112363659), ('C0118', 0.8281091660572026), ('C0174', 0.8223402451893128)]"
C0020,"[('C0140', 0.9614636122333073), ('C0110', 0.9501210017185562), ('C0078', 0.9477526660653267)]"
